precid,huid,Block2010str,sex,race,hispan,randagePCT12,gqtype,hcb_lat,hcb_lon,gradelevel,ncs_lat,ncs_lon,SCHNAM09,NCESSCH,hcb_ncs_line
B371559606003056P0012,B371559606003056H010,B371559606003056,1,3.0,0.0,15.0,0.0,34.62433640453549,-79.06714549005278,G09,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.06714549005278 34.62433640453549, -79.00006599999999 34.645515)"
B371559607011012P0056,B371559607011012H010,B371559607011012,2,3.0,0.0,16.0,0.0,34.726004498208866,-78.99923373851327,G10,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -78.99923373851327 34.726004498208866, -79.00006599999999 34.645515)"
B371559607011012P0057,B371559607011012H014,B371559607011012,2,3.0,0.0,15.0,0.0,34.726004498208866,-78.99923373851327,G10,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -78.99923373851327 34.726004498208866, -79.00006599999999 34.645515)"
B371559607011012P0024,B371559607011012H017,B371559607011012,1,3.0,0.0,18.0,0.0,34.726004498208866,-78.99923373851327,G12,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -78.99923373851327 34.726004498208866, -79.00006599999999 34.645515)"
B371559607011012P0054,B371559607011012H027,B371559607011012,2,3.0,0.0,14.0,0.0,34.726004498208866,-78.99923373851327,G09,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -78.99923373851327 34.726004498208866, -79.00006599999999 34.645515)"
B371559607011012P0055,B371559607011012H031,B371559607011012,2,3.0,0.0,15.0,0.0,34.726004498208866,-78.99923373851327,G10,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -78.99923373851327 34.726004498208866, -79.00006599999999 34.645515)"
B371559607011012P0094,B371559607011012H036,B371559607011012,1,6.0,1.0,16.0,0.0,34.726004498208866,-78.99923373851327,G10,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -78.99923373851327 34.726004498208866, -79.00006599999999 34.645515)"
B371559607011012P0026,B371559607011012H037,B371559607011012,1,3.0,0.0,18.0,0.0,34.726004498208866,-78.99923373851327,G12,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -78.99923373851327 34.726004498208866, -79.00006599999999 34.645515)"
B371559607011015P0001,B371559607011015H003,B371559607011015,1,3.0,0.0,17.0,0.0,34.71428254784506,-78.99993134580775,G12,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -78.99993134580775 34.71428254784506, -79.00006599999999 34.645515)"
B371559607011016P0003,B371559607011016H002,B371559607011016,2,1.0,0.0,17.0,0.0,34.71967702309513,-79.00198487311691,G12,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.00198487311691 34.71967702309513, -79.00006599999999 34.645515)"
B371559607011016P0008,B371559607011016H008,B371559607011016,1,1.0,1.0,15.0,0.0,34.71967702309513,-79.00198487311691,G09,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.00198487311691 34.71967702309513, -79.00006599999999 34.645515)"
B371559607011016P0039,B371559607011016H030,B371559607011016,1,3.0,0.0,16.0,0.0,34.71967702309513,-79.00198487311691,G10,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.00198487311691 34.71967702309513, -79.00006599999999 34.645515)"
B371559607011016P0080,B371559607011016H031,B371559607011016,2,3.0,0.0,15.0,0.0,34.71967702309513,-79.00198487311691,G09,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.00198487311691 34.71967702309513, -79.00006599999999 34.645515)"
B371559607011016P0038,B371559607011016H032,B371559607011016,1,3.0,0.0,16.0,0.0,34.71967702309513,-79.00198487311691,G10,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.00198487311691 34.71967702309513, -79.00006599999999 34.645515)"
B371559607011016P0040,B371559607011016H045,B371559607011016,1,3.0,0.0,18.0,0.0,34.71967702309513,-79.00198487311691,G12,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.00198487311691 34.71967702309513, -79.00006599999999 34.645515)"
B371559607011016P0128,B371559607011016H049,B371559607011016,1,7.0,1.0,15.0,0.0,34.71967702309513,-79.00198487311691,G09,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.00198487311691 34.71967702309513, -79.00006599999999 34.645515)"
B371559607011016P0133,B371559607011016H049,B371559607011016,2,7.0,1.0,16.0,0.0,34.71967702309513,-79.00198487311691,G10,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.00198487311691 34.71967702309513, -79.00006599999999 34.645515)"
B371559607011019P0048,B371559607011019H002,B371559607011019,1,7.0,0.0,14.0,0.0,34.72079101662777,-79.00760868159938,G09,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.00760868159938 34.72079101662777, -79.00006599999999 34.645515)"
B371559607011019P0018,B371559607011019H006,B371559607011019,1,3.0,0.0,15.0,0.0,34.72079101662777,-79.00760868159938,G10,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.00760868159938 34.72079101662777, -79.00006599999999 34.645515)"
B371559607011019P0037,B371559607011019H007,B371559607011019,2,3.0,0.0,15.0,0.0,34.72079101662777,-79.00760868159938,G09,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.00760868159938 34.72079101662777, -79.00006599999999 34.645515)"
B371559607011019P0019,B371559607011019H007,B371559607011019,1,3.0,0.0,15.0,0.0,34.72079101662777,-79.00760868159938,G09,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.00760868159938 34.72079101662777, -79.00006599999999 34.645515)"
B371559607011019P0034,B371559607011019H008,B371559607011019,2,3.0,0.0,14.0,0.0,34.72079101662777,-79.00760868159938,G09,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.00760868159938 34.72079101662777, -79.00006599999999 34.645515)"
B371559607011020P0016,B371559607011020H006,B371559607011020,2,3.0,0.0,17.0,0.0,34.72652899132217,-79.00748642472406,G11,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.00748642472406 34.72652899132217, -79.00006599999999 34.645515)"
B371559607011020P0015,B371559607011020H007,B371559607011020,2,3.0,0.0,15.0,0.0,34.72652899132217,-79.00748642472406,G10,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.00748642472406 34.72652899132217, -79.00006599999999 34.645515)"
B371559607011021P0069,B371559607011021H004,B371559607011021,2,3.0,0.0,18.0,0.0,34.71222705276631,-79.01312657138867,G12,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.01312657138867 34.71222705276631, -79.00006599999999 34.645515)"
B371559607011021P0063,B371559607011021H012,B371559607011021,2,3.0,0.0,14.0,0.0,34.71222705276631,-79.01312657138867,G09,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.01312657138867 34.71222705276631, -79.00006599999999 34.645515)"
B371559607011021P0068,B371559607011021H024,B371559607011021,2,3.0,0.0,15.0,0.0,34.71222705276631,-79.01312657138867,G09,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.01312657138867 34.71222705276631, -79.00006599999999 34.645515)"
B371559607011021P0066,B371559607011021H029,B371559607011021,2,3.0,0.0,15.0,0.0,34.71222705276631,-79.01312657138867,G09,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.01312657138867 34.71222705276631, -79.00006599999999 34.645515)"
B371559607011021P0022,B371559607011021H038,B371559607011021,1,3.0,0.0,17.0,0.0,34.71222705276631,-79.01312657138867,G12,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.01312657138867 34.71222705276631, -79.00006599999999 34.645515)"
B371559607011021P0067,B371559607011021H038,B371559607011021,2,3.0,0.0,15.0,0.0,34.71222705276631,-79.01312657138867,G09,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.01312657138867 34.71222705276631, -79.00006599999999 34.645515)"
B371559607011026P0013,B371559607011026H007,B371559607011026,1,3.0,0.0,17.0,0.0,34.70410558899563,-79.0115144091167,G09,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.0115144091167 34.70410558899563, -79.00006599999999 34.645515)"
B371559607011035P0001,B371559607011035H013,B371559607011035,1,1.0,0.0,18.0,0.0,34.713602549559866,-79.00361701917589,G12,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.00361701917589 34.713602549559866, -79.00006599999999 34.645515)"
B371559607011035P0030,B371559607011035H014,B371559607011035,1,6.0,1.0,15.0,0.0,34.713602549559866,-79.00361701917589,G09,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.00361701917589 34.713602549559866, -79.00006599999999 34.645515)"
B371559607011039P0046,B371559607011039H012,B371559607011039,2,1.0,1.0,15.0,0.0,34.70670058021444,-79.003388988617,G10,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.003388988617 34.70670058021444, -79.00006599999999 34.645515)"
B371559607011045P0044,B371559607011045H019,B371559607011045,1,3.0,0.0,15.0,0.0,34.71570453402968,-79.02502071726329,G10,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.02502071726329 34.715704534029676, -79.00006599999999 34.645515)"
B371559607011045P0080,B371559607011045H022,B371559607011045,2,3.0,0.0,17.0,0.0,34.71570453402968,-79.02502071726329,G11,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.02502071726329 34.715704534029676, -79.00006599999999 34.645515)"
B371559607011045P0081,B371559607011045H025,B371559607011045,2,3.0,0.0,17.0,0.0,34.71570453402968,-79.02502071726329,G12,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.02502071726329 34.715704534029676, -79.00006599999999 34.645515)"
B371559607011045P0082,B371559607011045H036,B371559607011045,2,3.0,0.0,17.0,0.0,34.71570453402968,-79.02502071726329,G09,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.02502071726329 34.715704534029676, -79.00006599999999 34.645515)"
B371559607011045P0121,B371559607011045H039,B371559607011045,2,6.0,1.0,14.0,0.0,34.71570453402968,-79.02502071726329,G09,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.02502071726329 34.715704534029676, -79.00006599999999 34.645515)"
B371559607011047P0047,B371559607011047H015,B371559607011047,2,1.0,1.0,17.0,0.0,34.702109596600714,-79.01495871542095,G09,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.01495871542095 34.702109596600714, -79.00006599999999 34.645515)"
B371559607011047P0186,B371559607011047H027,B371559607011047,2,3.0,0.0,18.0,0.0,34.702109596600714,-79.01495871542095,G12,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.01495871542095 34.702109596600714, -79.00006599999999 34.645515)"
B371559607011047P0185,B371559607011047H047,B371559607011047,2,3.0,0.0,17.0,0.0,34.702109596600714,-79.01495871542095,G11,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.01495871542095 34.702109596600714, -79.00006599999999 34.645515)"
B371559607011047P0123,B371559607011047H050,B371559607011047,1,3.0,0.0,18.0,0.0,34.702109596600714,-79.01495871542095,G12,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.01495871542095 34.702109596600714, -79.00006599999999 34.645515)"
B371559607011047P0121,B371559607011047H056,B371559607011047,1,3.0,0.0,16.0,0.0,34.702109596600714,-79.01495871542095,G11,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.01495871542095 34.702109596600714, -79.00006599999999 34.645515)"
B371559607011047P0184,B371559607011047H058,B371559607011047,2,3.0,0.0,17.0,0.0,34.702109596600714,-79.01495871542095,G11,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.01495871542095 34.702109596600714, -79.00006599999999 34.645515)"
B371559607011047P0180,B371559607011047H058,B371559607011047,2,3.0,0.0,17.0,0.0,34.702109596600714,-79.01495871542095,G11,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.01495871542095 34.702109596600714, -79.00006599999999 34.645515)"
B371559607011047P0181,B371559607011047H059,B371559607011047,2,3.0,0.0,16.0,0.0,34.702109596600714,-79.01495871542095,G11,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.01495871542095 34.702109596600714, -79.00006599999999 34.645515)"
B371559607011047P0115,B371559607011047H059,B371559607011047,1,3.0,0.0,14.0,0.0,34.702109596600714,-79.01495871542095,G09,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.01495871542095 34.702109596600714, -79.00006599999999 34.645515)"
B371559607011047P0120,B371559607011047H060,B371559607011047,1,3.0,0.0,16.0,0.0,34.702109596600714,-79.01495871542095,G11,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.01495871542095 34.702109596600714, -79.00006599999999 34.645515)"
B371559607011047P0182,B371559607011047H068,B371559607011047,2,3.0,0.0,17.0,0.0,34.702109596600714,-79.01495871542095,G12,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.01495871542095 34.702109596600714, -79.00006599999999 34.645515)"
B371559607011047P0166,B371559607011047H076,B371559607011047,2,3.0,0.0,14.0,0.0,34.702109596600714,-79.01495871542095,G09,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.01495871542095 34.702109596600714, -79.00006599999999 34.645515)"
B371559607011047P0119,B371559607011047H077,B371559607011047,1,3.0,0.0,17.0,0.0,34.702109596600714,-79.01495871542095,G09,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.01495871542095 34.702109596600714, -79.00006599999999 34.645515)"
B371559607011047P0172,B371559607011047H077,B371559607011047,2,3.0,0.0,14.0,0.0,34.702109596600714,-79.01495871542095,G09,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.01495871542095 34.702109596600714, -79.00006599999999 34.645515)"
B371559607011051P0002,B371559607011051H002,B371559607011051,1,2.0,0.0,17.0,0.0,34.69715411873604,-79.01387037230197,G12,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.01387037230197 34.69715411873604, -79.00006599999999 34.645515)"
B371559607011051P0003,B371559607011051H004,B371559607011051,1,2.0,0.0,15.0,0.0,34.69715411873604,-79.01387037230197,G09,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.01387037230197 34.69715411873604, -79.00006599999999 34.645515)"
B371559607012019P0052,B371559607012019H012,B371559607012019,2,3.0,0.0,14.0,0.0,34.703968081343504,-79.03615470367933,G09,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.03615470367933 34.703968081343504, -79.00006599999999 34.645515)"
B371559607012019P0012,B371559607012019H018,B371559607012019,1,3.0,0.0,16.0,0.0,34.703968081343504,-79.03615470367933,G10,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.03615470367933 34.703968081343504, -79.00006599999999 34.645515)"
B371559607012019P0058,B371559607012019H019,B371559607012019,2,3.0,0.0,17.0,0.0,34.703968081343504,-79.03615470367933,G11,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.03615470367933 34.703968081343504, -79.00006599999999 34.645515)"
B371559607012021P0008,B371559607012021H004,B371559607012021,2,2.0,0.0,17.0,0.0,34.709697558808465,-79.02932039722242,G11,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.02932039722242 34.709697558808465, -79.00006599999999 34.645515)"
B371559607012021P0014,B371559607012021H009,B371559607012021,1,3.0,0.0,15.0,0.0,34.709697558808465,-79.02932039722242,G10,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.02932039722242 34.709697558808465, -79.00006599999999 34.645515)"
B371559607012021P0013,B371559607012021H011,B371559607012021,1,3.0,0.0,16.0,0.0,34.709697558808465,-79.02932039722242,G10,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.02932039722242 34.709697558808465, -79.00006599999999 34.645515)"
B371559607012021P0012,B371559607012021H014,B371559607012021,1,3.0,0.0,15.0,0.0,34.709697558808465,-79.02932039722242,G10,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.02932039722242 34.709697558808465, -79.00006599999999 34.645515)"
B371559607012023P0046,B371559607012023H016,B371559607012023,2,3.0,0.0,14.0,0.0,34.69197212548484,-79.05591609775033,G09,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.05591609775033 34.69197212548484, -79.00006599999999 34.645515)"
B371559607012023P0013,B371559607012023H021,B371559607012023,1,3.0,0.0,16.0,0.0,34.69197212548484,-79.05591609775033,G10,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.05591609775033 34.69197212548484, -79.00006599999999 34.645515)"
B371559607012023P0006,B371559607012023H028,B371559607012023,2,1.0,1.0,15.0,0.0,34.69197212548484,-79.05591609775033,G09,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.05591609775033 34.69197212548484, -79.00006599999999 34.645515)"
B371559607012024P0020,B371559607012024H014,B371559607012024,1,3.0,0.0,15.0,0.0,34.69414262005795,-79.04582716257113,G09,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.04582716257113 34.69414262005795, -79.00006599999999 34.645515)"
B371559607012024P0022,B371559607012024H026,B371559607012024,1,3.0,0.0,17.0,0.0,34.69414262005795,-79.04582716257113,G12,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.04582716257113 34.69414262005795, -79.00006599999999 34.645515)"
B371559607012024P0021,B371559607012024H030,B371559607012024,1,3.0,0.0,15.0,0.0,34.69414262005795,-79.04582716257113,G10,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.04582716257113 34.69414262005795, -79.00006599999999 34.645515)"
B371559607012024P0063,B371559607012024H031,B371559607012024,2,3.0,0.0,16.0,0.0,34.69414262005795,-79.04582716257113,G10,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.04582716257113 34.69414262005795, -79.00006599999999 34.645515)"
B371559607012024P0061,B371559607012024H036,B371559607012024,2,3.0,0.0,16.0,0.0,34.69414262005795,-79.04582716257113,G10,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.04582716257113 34.69414262005795, -79.00006599999999 34.645515)"
B371559607012024P0023,B371559607012024H037,B371559607012024,1,3.0,0.0,18.0,0.0,34.69414262005795,-79.04582716257113,G12,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.04582716257113 34.69414262005795, -79.00006599999999 34.645515)"
B371559607012024P0064,B371559607012024H037,B371559607012024,2,3.0,0.0,16.0,0.0,34.69414262005795,-79.04582716257113,G10,34.645515,-79.00006599999999,LUMBERTON SENIOR HIGH,370393002237.0,"LINESTRING ( -79.04582716257113 34.69414262005795, -79.00006599999999 34.645515)"
