precid,huid,Block2010str,sex,race,hispan,randagePCT12,gqtype,hcb_lat,hcb_lon,Earnings,agegroupLODES,Education,jobtype,IndustryCode,NAICS2D,wet_lat,wet_lon,hcb_wet_line,SIName,od_distance
B371559601011061P0044,B371559601011061H017,B371559601011061,2,1.0,0.0,43.0,0.0,34.80675995086343,-78.9036613539094,1.0,2.0,1.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -78.9036613539094 34.80675995086343, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,22.52141440840233
B371559601011062P0029,B371559601011062H009,B371559601011062,2,2.0,0.0,35.0,0.0,34.80477884920084,-78.92705367728772,1.0,2.0,1.0,JT07,15.0,61.0,34.62287,-79.03482,"LINESTRING ( -78.92705367728772 34.80477884920084, -79.03482 34.62287)",WEST LUMBERTON ELEMENTARY SCHL,21.67153211588431
B371559601011071P0074,B371559601011071H023,B371559601011071,1,1.0,1.0,40.0,0.0,34.80072235931363,-78.9211045303871,2.0,2.0,3.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -78.9211045303871 34.80072235931363, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,21.91887217314634
B371559601012003P0047,B371559601012003H019,B371559601012003,2,1.0,0.0,36.0,0.0,34.8052957503754,-78.95189432439892,3.0,2.0,4.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -78.95189432439892 34.8052957503754, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,31.187984038303888
B371559601012007P0086,B371559601012007H017,B371559601012007,2,3.0,0.0,43.0,0.0,34.79269522411724,-78.94812481675066,2.0,2.0,1.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -78.94812481675066 34.79269522411724, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,25.634619399978373
B371559601012014P0030,B371559601012014H012,B371559601012014,1,2.0,0.0,50.0,0.0,34.770880633411764,-78.95299679960723,2.0,2.0,3.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -78.95299679960723 34.770880633411764, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,16.175176162374182
B371559601012015P0021,B371559601012015H010,B371559601012015,2,1.0,0.0,64.0,0.0,34.77004267230658,-78.94220655526222,1.0,3.0,1.0,JT07,15.0,61.0,34.658842,-79.008135,"LINESTRING ( -78.94220655526222 34.77004267230658, -79.008135 34.658842)",GILBERT CARROLL MIDDLE SCHOOL,16.302176367084847
B371559601012017P0027,B371559601012017H016,B371559601012017,1,2.0,0.0,38.0,0.0,34.7745456822806,-78.9434965481196,2.0,2.0,3.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -78.9434965481196 34.774545682280596, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,16.98863818378409
B371559601012020P0009,B371559601012020H005,B371559601012020,2,3.0,0.0,58.0,0.0,34.76018962456123,-78.94613841011372,2.0,3.0,3.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -78.94613841011372 34.76018962456123, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,40.25975758076688
B371559601021024P0016,B371559601021024H004,B371559601021024,2,3.0,0.0,48.0,0.0,34.85310218791417,-79.02674584316877,2.0,2.0,2.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -79.02674584316877 34.85310218791417, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,25.95990328806394
B371559601021028P0041,B371559601021028H016,B371559601021028,2,2.0,0.0,51.0,0.0,34.8445032760481,-78.97599973921308,2.0,2.0,2.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -78.97599973921308 34.8445032760481, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,24.19756318540942
B371559601021051P0031,B371559601021051H005,B371559601021051,2,1.0,0.0,40.0,0.0,34.82386859829585,-79.03678167552582,1.0,2.0,2.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -79.03678167552582 34.82386859829585, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,22.53972045844066
B371559601021051P0079,B371559601021051H015,B371559601021051,2,2.0,0.0,61.0,0.0,34.82386859829585,-79.03678167552582,2.0,3.0,2.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -79.03678167552582 34.82386859829585, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,22.352495713630365
B371559601021053P0016,B371559601021053H002,B371559601021053,2,2.0,0.0,57.0,0.0,34.83646263594328,-79.03439424562842,2.0,3.0,4.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -79.03439424562842 34.83646263594328, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,23.95277022613324
B371559601021075P0018,B371559601021075H003,B371559601021075,2,1.0,0.0,52.0,0.0,34.81340965383439,-78.98197143934036,2.0,2.0,4.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -78.98197143934036 34.81340965383439, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,21.58322503230348
B371559601021082P0008,B371559601021082H003,B371559601021082,2,1.0,0.0,52.0,0.0,34.81088019087816,-78.97096150685749,2.0,2.0,3.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -78.97096150685749 34.81088019087816, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,18.619249091332254
B371559601021088P0009,B371559601021088H006,B371559601021088,2,1.0,0.0,40.0,0.0,34.81151965645702,-78.9798885638362,2.0,2.0,2.0,JT07,15.0,61.0,34.64676,-78.99865,"LINESTRING ( -78.9798885638362 34.81151965645702, -78.99865 34.64676)",LUMBERTON SENIOR HIGH SCHOOL,18.293093484360856
B371559601022003P0095,B371559601022003H013,B371559601022003,2,1.0,0.0,32.0,0.0,34.840193797375605,-78.9677703301595,1.0,2.0,3.0,JT07,15.0,61.0,34.64676,-78.99865,"LINESTRING ( -78.9677703301595 34.840193797375605, -78.99865 34.64676)",LUMBERTON SENIOR HIGH SCHOOL,19.341081159264533
B371559601022005P0084,B371559601022005H039,B371559601022005,2,1.0,0.0,65.0,0.0,34.82713474663222,-78.96995364533714,1.0,3.0,4.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -78.96995364533714 34.82713474663222, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,22.37534712152936
B371559601022005P0114,B371559601022005H070,B371559601022005,2,1.0,1.0,57.0,0.0,34.82713474663222,-78.96995364533714,3.0,3.0,2.0,JT07,15.0,61.0,34.64676,-78.99865,"LINESTRING ( -78.96995364533714 34.82713474663222, -78.99865 34.64676)",LUMBERTON SENIOR HIGH SCHOOL,0.6203326124270788
B371559601023004P0008,B371559601023004H010,B371559601023004,2,1.0,0.0,31.0,0.0,34.803727707471666,-78.9612410649793,3.0,2.0,3.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -78.9612410649793 34.803727707471666, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,19.07052720673969
B371559601023004P0089,B371559601023004H040,B371559601023004,2,2.0,0.0,48.0,0.0,34.803727707471666,-78.9612410649793,2.0,2.0,3.0,JT07,15.0,61.0,34.64676,-78.99865,"LINESTRING ( -78.9612410649793 34.803727707471666, -78.99865 34.64676)",LUMBERTON SENIOR HIGH SCHOOL,17.626300255535575
B371559601023019P0014,B371559601023019H005,B371559601023019,2,2.0,0.0,62.0,0.0,34.80404366405435,-78.97223316530777,2.0,3.0,3.0,JT07,15.0,61.0,34.61427,-78.98773,"LINESTRING ( -78.97223316530777 34.80404366405435, -78.98773 34.61427)",JANIE CARYLE HARGRAVE SCHOOL,20.544468867977844
B371559601023020P0003,B371559601023020H001,B371559601023020,2,1.0,0.0,56.0,0.0,34.80429515934952,-78.97359342573247,2.0,3.0,2.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -78.97359342573247 34.80429515934952, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,19.351351654978945
B371559601023021P0004,B371559601023021H004,B371559601023021,1,1.0,0.0,35.0,0.0,34.80361465177296,-78.97493689693566,3.0,2.0,2.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -78.97493689693566 34.80361465177296, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,19.590576211378377
B371559601023021P0014,B371559601023021H010,B371559601023021,2,1.0,0.0,46.0,0.0,34.80361465177296,-78.97493689693566,2.0,2.0,3.0,JT07,15.0,61.0,34.658842,-79.008135,"LINESTRING ( -78.97493689693566 34.80361465177296, -79.008135 34.658842)",GILBERT CARROLL MIDDLE SCHOOL,19.97082878781835
B371559601023029P0010,B371559601023029H003,B371559601023029,1,2.0,0.0,53.0,0.0,34.80480467794406,-78.9693959402783,1.0,2.0,3.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -78.9693959402783 34.80480467794406, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,20.43795743119385
B371559601024000P0016,B371559601024000H007,B371559601024000,2,1.0,0.0,62.0,0.0,34.78832165275085,-78.96251653247597,2.0,3.0,1.0,JT07,15.0,61.0,34.64676,-78.99865,"LINESTRING ( -78.96251653247597 34.78832165275085, -78.99865 34.64676)",LUMBERTON SENIOR HIGH SCHOOL,15.945711271037451
B371559601024010P0035,B371559601024010H009,B371559601024010,2,1.0,0.0,52.0,0.0,34.78701449891761,-79.00598249628466,3.0,2.0,2.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -79.00598249628466 34.78701449891761, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,15.704816579627684
B371559601024014P0117,B371559601024014H029,B371559601024014,2,3.0,0.0,40.0,0.0,34.77447545900716,-79.01620570474671,1.0,2.0,2.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -79.01620570474671 34.77447545900716, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,16.810368509906617
B371559601024015P0050,B371559601024015H021,B371559601024015,2,3.0,0.0,23.0,0.0,34.779100969278694,-79.03070582766895,2.0,1.0,0.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -79.03070582766895 34.779100969278694, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,18.9974872163448
B371559601024025P0020,B371559601024025H010,B371559601024025,2,1.0,0.0,42.0,0.0,34.793479073337856,-78.98660630118161,2.0,2.0,2.0,JT07,15.0,61.0,34.63871,-79.01208,"LINESTRING ( -78.98660630118161 34.793479073337856, -79.01208 34.63871)",TANGLEWOOD ELEMENTARY SCHOOL,18.621893559790923
B371559601024047P0030,B371559601024047H008,B371559601024047,2,1.0,0.0,58.0,0.0,34.767343477464614,-78.99055900576364,2.0,3.0,1.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -78.99055900576364 34.767343477464614, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,21.45044510085183
B371559601024047P0068,B371559601024047H013,B371559601024047,2,3.0,1.0,59.0,0.0,34.767343477464614,-78.99055900576364,2.0,3.0,3.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -78.99055900576364 34.767343477464614, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,6.558050410637804
B371559601024047P0051,B371559601024047H018,B371559601024047,2,2.0,0.0,46.0,0.0,34.767343477464614,-78.99055900576364,3.0,2.0,1.0,JT07,15.0,61.0,34.62243,-78.99577,"LINESTRING ( -78.99055900576364 34.767343477464614, -78.99577 34.62243)",ROWLAND NORMENT SCHOOL,17.88547713672733
B371559601024063P0048,B371559601024063H007,B371559601024063,2,3.0,0.0,46.0,0.0,34.756937950333025,-78.98930036008774,1.0,2.0,4.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -78.98930036008774 34.756937950333025, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,18.706810363353352
B371559602011006P0099,B371559602011006H023,B371559602011006,2,1.0,0.0,45.0,0.0,34.934183423765624,-79.03077669824759,3.0,2.0,3.0,JT07,15.0,61.0,34.64676,-78.99865,"LINESTRING ( -79.03077669824759 34.934183423765624, -78.99865 34.64676)",LUMBERTON SENIOR HIGH SCHOOL,32.366258327919645
B371559602011006P0174,B371559602011006H046,B371559602011006,2,2.0,0.0,56.0,0.0,34.934183423765624,-79.03077669824759,2.0,3.0,2.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -79.03077669824759 34.934183423765624, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,31.7322146780228
B371559602011006P0182,B371559602011006H061,B371559602011006,1,3.0,0.0,35.0,0.0,34.934183423765624,-79.03077669824759,3.0,2.0,3.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -79.03077669824759 34.934183423765624, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,35.9301668928954
B371559602011010P0008,B371559602011010H002,B371559602011010,2,1.0,0.0,38.0,0.0,34.93138092760179,-79.01233441636944,3.0,2.0,4.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -79.01233441636944 34.93138092760179, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,34.78167826284875
B371559602011020P0044,B371559602011020H016,B371559602011020,2,3.0,0.0,59.0,0.0,34.92871688801358,-79.06131462502346,1.0,3.0,3.0,JT07,15.0,61.0,34.64676,-78.99865,"LINESTRING ( -79.06131462502346 34.92871688801358, -78.99865 34.64676)",LUMBERTON SENIOR HIGH SCHOOL,32.18530014093307
B371559602011033P0024,B371559602011033H006,B371559602011033,2,2.0,0.0,35.0,0.0,34.89936532833404,-79.01910278364295,1.0,2.0,1.0,JT07,15.0,61.0,34.658842,-79.008135,"LINESTRING ( -79.01910278364295 34.89936532833404, -79.008135 34.658842)",GILBERT CARROLL MIDDLE SCHOOL,32.12260403906486
B371559602011055P0006,B371559602011055H001,B371559602011055,2,1.0,0.0,45.0,0.0,34.89040379194515,-79.03726193704296,3.0,2.0,3.0,JT07,15.0,61.0,34.62243,-78.99577,"LINESTRING ( -79.03726193704296 34.89040379194515, -78.99577 34.62243)",ROWLAND NORMENT SCHOOL,30.221355383732984
B371559602012000P0081,B371559602012000H006,B371559602012000,2,3.0,0.0,25.0,0.0,34.92328486897278,-79.06697280017192,3.0,1.0,0.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -79.06697280017192 34.92328486897278, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,27.144174130339778
B371559602012009P0009,B371559602012009H001,B371559602012009,1,5.0,0.0,32.0,0.0,34.90290280190657,-79.08318846294019,3.0,2.0,3.0,JT07,15.0,61.0,34.64676,-78.99865,"LINESTRING ( -79.08318846294019 34.90290280190657, -78.99865 34.64676)",LUMBERTON SENIOR HIGH SCHOOL,2.732993196864501
B371559602012022P0008,B371559602012022H010,B371559602012022,2,1.0,0.0,51.0,0.0,34.88832525036787,-79.10350371015046,2.0,2.0,2.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -79.10350371015046 34.88832525036787, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,31.025171732684747
B371559602012025P0001,B371559602012025H001,B371559602012025,1,1.0,0.0,58.0,0.0,34.89282077568673,-79.0797416635145,3.0,3.0,4.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -79.0797416635145 34.89282077568673, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,10.293712878199663
B371559602012032P0005,B371559602012032H001,B371559602012032,2,1.0,0.0,50.0,0.0,34.88952478233202,-79.05033383706403,3.0,2.0,2.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -79.05033383706403 34.88952478233202, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,19.39755645417416
B371559602012040P0008,B371559602012040H002,B371559602012040,2,1.0,0.0,45.0,0.0,34.89019727397645,-79.06934334271101,3.0,2.0,3.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -79.06934334271101 34.89019727397645, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,30.018981454417343
B371559602012045P0023,B371559602012045H009,B371559602012045,2,2.0,0.0,37.0,0.0,34.88633226121023,-79.07281785944913,1.0,2.0,3.0,JT07,15.0,61.0,34.64676,-78.99865,"LINESTRING ( -79.07281785944913 34.88633226121023, -78.99865 34.64676)",LUMBERTON SENIOR HIGH SCHOOL,29.983735761998297
B371559602012066P0013,B371559602012066H002,B371559602012066,2,1.0,0.0,34.0,0.0,34.86367370572721,-79.05506017411733,1.0,2.0,4.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -79.05506017411733 34.86367370572721, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,23.82904399807753
B371559602012079P0006,B371559602012079H002,B371559602012079,1,1.0,0.0,35.0,0.0,34.86094119058084,-79.07090930164958,3.0,2.0,3.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -79.07090930164958 34.86094119058084, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,27.200148737439704
B371559602012079P0049,B371559602012079H026,B371559602012079,1,3.0,0.0,52.0,0.0,34.86094119058084,-79.07090930164958,3.0,2.0,3.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -79.07090930164958 34.86094119058084, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,27.91931830205353
B371559602012082P0025,B371559602012082H007,B371559602012082,1,1.0,1.0,35.0,0.0,34.846889655222924,-79.06078198446063,2.0,2.0,4.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -79.06078198446063 34.846889655222924, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,25.38517681708724
B371559602012082P0059,B371559602012082H015,B371559602012082,2,2.0,1.0,40.0,0.0,34.846889655222924,-79.06078198446063,1.0,2.0,2.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -79.06078198446063 34.846889655222924, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,21.8155422637284
B371559602012094P0036,B371559602012094H026,B371559602012094,2,2.0,0.0,26.0,0.0,34.837899632464435,-79.05362815281076,1.0,1.0,0.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -79.05362815281076 34.837899632464435, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,29.77893460425636
B371559602012098P0113,B371559602012098H035,B371559602012098,2,3.0,0.0,54.0,0.0,34.8445706433051,-79.0735102212064,2.0,2.0,1.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -79.0735102212064 34.8445706433051, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,25.69047349329772
B371559602012099P0098,B371559602012099H028,B371559602012099,2,3.0,0.0,60.0,0.0,34.849012157307044,-79.07001318087606,2.0,3.0,3.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -79.07001318087606 34.849012157307044, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,25.75011703172
B371559602012104P0053,B371559602012104H037,B371559602012104,1,3.0,0.0,21.0,0.0,34.861675681673375,-79.09458481698098,1.0,1.0,0.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -79.09458481698098 34.861675681673375, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,33.82471370505498
B371559602012105P0013,B371559602012105H005,B371559602012105,2,2.0,0.0,45.0,0.0,34.86816169693381,-79.10003254550016,3.0,2.0,2.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -79.10003254550016 34.86816169693381, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,29.4602518792827
B371559602012113P0069,B371559602012113H019,B371559602012113,2,2.0,0.0,46.0,0.0,34.83494912797517,-79.04346508290516,2.0,2.0,1.0,JT07,15.0,61.0,34.64676,-78.99865,"LINESTRING ( -79.04346508290516 34.83494912797517, -78.99865 34.64676)",LUMBERTON SENIOR HIGH SCHOOL,26.39799360093508
B371559602012113P0090,B371559602012113H027,B371559602012113,2,3.0,0.0,40.0,0.0,34.83494912797517,-79.04346508290516,2.0,2.0,1.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -79.04346508290516 34.83494912797517, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,23.96687065058301
B371559602013015P0136,B371559602013015H036,B371559602013015,2,2.0,0.0,64.0,0.0,34.897206988504514,-78.96572100913893,1.0,3.0,4.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -78.96572100913893 34.897206988504514, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,30.078456681742058
B371559602013015P0128,B371559602013015H039,B371559602013015,2,2.0,1.0,36.0,0.0,34.897206988504514,-78.96572100913893,1.0,2.0,2.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -78.96572100913893 34.897206988504514, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,16.9779151124561
B371559602013030P0155,B371559602013030H053,B371559602013030,2,1.0,1.0,58.0,0.0,34.88126681965491,-78.99213934561452,2.0,3.0,3.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -78.99213934561452 34.88126681965491, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,6.419460123574616
B371559602013030P0147,B371559602013030H058,B371559602013030,1,1.0,1.0,57.0,0.0,34.88126681965491,-78.99213934561452,2.0,3.0,4.0,JT07,15.0,61.0,34.658842,-79.008135,"LINESTRING ( -78.99213934561452 34.88126681965491, -79.008135 34.658842)",GILBERT CARROLL MIDDLE SCHOOL,25.159512727632297
B371559602013030P0378,B371559602013030H129,B371559602013030,2,2.0,0.0,39.0,0.0,34.88126681965491,-78.99213934561452,2.0,2.0,3.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -78.99213934561452 34.88126681965491, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,11.247706257759193
B371559602013030P0416,B371559602013030H148,B371559602013030,2,2.0,0.0,52.0,0.0,34.88126681965491,-78.99213934561452,2.0,2.0,3.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -78.99213934561452 34.88126681965491, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,28.956739889267084
B371559602013030P0470,B371559602013030H153,B371559602013030,2,3.0,0.0,46.0,0.0,34.88126681965491,-78.99213934561452,2.0,2.0,2.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -78.99213934561452 34.88126681965491, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,28.956739889267084
B371559602013030P0471,B371559602013030H156,B371559602013030,2,3.0,0.0,52.0,0.0,34.88126681965491,-78.99213934561452,2.0,2.0,1.0,JT07,15.0,61.0,34.623703,-79.053109,"LINESTRING ( -78.99213934561452 34.88126681965491, -79.053109 34.623703)",PUBLIC SCHOOLS OF REBESON CNTY,28.956739889267084
B371559602013049P0018,B371559602013049H003,B371559602013049,2,1.0,0.0,25.0,0.0,34.89394031438704,-79.01525077950974,2.0,1.0,0.0,JT07,15.0,61.0,34.63871,-79.01208,"LINESTRING ( -79.01525077950974 34.89394031438704, -79.01208 34.63871)",TANGLEWOOD ELEMENTARY SCHOOL,28.79402445335897
